zip,City,Metro,price_aug,price_dec,change_aug_dec,total_emp,info_emp,info_pct
95746,Granite Bay,"Sacramento-Roseville-Folsom, CA",1086804.6985767528,1101273.2551577191,1.3312931568950641,9783,151,1.5434938158029234
94519,Concord,"San Francisco-Oakland-Berkeley, CA",699251.726094389,697018.6839291175,-0.3193473940699352,10212,105,1.028202115158637
95818,Sacramento,"Sacramento-Roseville-Folsom, CA",675924.9392042161,686979.6730587851,1.6354972591459718,12582,356,2.829438880941027
95391,Tracy,"Stockton, CA",938556.0258141952,915316.9603560151,-2.4760445640973003,11637,318,2.7326630574890434
95827,Rancho Cordova,"Sacramento-Roseville-Folsom, CA",462082.8534194796,463416.5170287431,0.28862001682040017,10568,69,0.6529144587433762
94597,Walnut Creek,"San Francisco-Oakland-Berkeley, CA",948394.319977786,954882.2777281484,0.6840991783369506,13759,421,3.0598153935605787
94596,Walnut Creek,"San Francisco-Oakland-Berkeley, CA",1052216.5083936565,1073222.9436041673,1.9963985589410562,13629,354,2.5974025974025974
95521,Arcata,"Eureka-Arcata, CA",487667.2394773129,487108.92140757124,-0.11448750798599167,10784,187,1.7340504451038574
95965,Oroville,"Chico, CA",292656.1563072742,295451.74576545204,0.9552471041281044,7420,96,1.293800539083558
95135,San Jose,"San Jose-Sunnyvale-Santa Clara, CA",1644900.217137248,1704392.6918145653,3.6167831980019334,9261,328,3.541734153979052
95110,San Jose,"San Jose-Sunnyvale-Santa Clara, CA",812175.8120020735,824490.8992692471,1.5163080561111477,10774,423,3.926118433265268
94579,San Leandro,"San Francisco-Oakland-Berkeley, CA",840079.7661222512,837236.1733658798,-0.33849080421222216,10026,181,1.8053062038699381
95841,Sacramento,"Sacramento-Roseville-Folsom, CA",425258.4166682881,422399.9688528227,-0.6721672525284903,10405,138,1.3262854396924555
94703,Berkeley,"San Francisco-Oakland-Berkeley, CA",1181016.5219516002,1197586.523620395,1.4030287773970567,12152,704,5.793285055957867
95138,,"San Jose-Sunnyvale-Santa Clara, CA",1700098.4499232105,1746354.6065771987,2.720792825620037,9972,549,5.505415162454874
95367,Riverbank,"Modesto, CA",475734.8617383164,476462.31494876434,0.1529114784209485,10426,128,1.2276999808171878
94552,Castro Valley,"San Francisco-Oakland-Berkeley, CA",1345409.951451541,1353679.1724518917,0.6146246347761328,7150,180,2.5174825174825175
94022,Los Altos,"San Jose-Sunnyvale-Santa Clara, CA",4529710.227015951,4831096.453236385,6.653543187440921,8774,999,11.385912924549805
94564,Pinole,"San Francisco-Oakland-Berkeley, CA",713866.0096742836,707047.6070046808,-0.9551375996615685,9609,133,1.3841190550525548
94127,San Francisco,"San Francisco-Oakland-Berkeley, CA",1684337.9918534327,1757943.6759418463,4.370006759000815,10471,314,2.998758475790278
94563,Orinda,"San Francisco-Oakland-Berkeley, CA",1858475.7897787981,1876061.8824718911,0.9462642876389664,8895,202,2.270938729623384
94706,Albany,"San Francisco-Oakland-Berkeley, CA",1158316.731307312,1182281.6739922797,2.06894556879276,10898,385,3.532758304276014
95304,Tracy,"Stockton, CA",895789.6117060343,893318.4695394132,-0.275861891489761,6888,183,2.656794425087108
95959,Nevada City,"Truckee-Grass Valley, CA",540737.3882309482,533974.1559534766,-1.2507424906566884,7964,71,0.891511803114013
95963,Orland,"Red Bluff, CA",377311.8387667208,382215.4356100235,1.2996138311828707,7169,18,0.2510810433812247
95357,Modesto,"Modesto, CA",496915.95132467145,496481.04550991737,-0.08752100100524293,6330,89,1.406003159557662
95816,Sacramento,"Sacramento-Roseville-Folsom, CA",687989.1030281484,693102.4989147922,0.7432379181788552,13256,283,2.134882317441159
95366,Ripon,"Stockton, CA",666032.4301085324,667705.487291166,0.2511975554044598,8680,71,0.8179723502304148
94301,Palo Alto,"San Jose-Sunnyvale-Santa Clara, CA",3938744.3254432646,4179328.703811772,6.108149158461367,8512,873,10.256109022556391
95519,McKinleyville,"Eureka-Arcata, CA",485919.5237413845,479189.2969652775,-1.3850496733053548,7899,65,0.8228889732877579
94949,Novato,"San Francisco-Oakland-Berkeley, CA",1168717.218201591,1174075.1531686306,0.45844579711800165,8700,363,4.172413793103448
95602,Auburn,"Sacramento-Roseville-Folsom, CA",621447.2362257028,619727.2903264477,-0.2767645906193141,8385,153,1.8246869409660107
95819,Sacramento,"Sacramento-Roseville-Folsom, CA",715394.0610018786,726154.30094688,1.5040997027473477,10495,233,2.22010481181515
95673,Rio Linda,"Sacramento-Roseville-Folsom, CA",437362.02337595326,439708.9190508,0.5366025282056422,7529,12,0.159383716296985
94945,Novato,"San Francisco-Oakland-Berkeley, CA",1033619.9874938292,1032435.6874028734,-0.11457790148072901,8194,297,3.624603368318282
95334,Livingston,"Merced, CA",422123.95154504856,420291.09356593183,-0.43419900065090905,7593,45,0.5926511260371394
94595,Walnut Creek,"San Francisco-Oakland-Berkeley, CA",673524.2993234358,672129.5770056372,-0.20707824783746426,5098,120,2.3538642604943116
94618,Oakland,"San Francisco-Oakland-Berkeley, CA",1489624.3904520161,1520099.8551626808,2.0458489338656127,9147,549,6.0019678583142015
95448,Healdsburg,"Santa Rosa-Petaluma, CA",1073592.1175650305,1068625.2570180437,-0.4626394387332066,8105,91,1.1227637260950032
