sma_code,sma_name,central_cities,state,county_fips,county_name,is_central_county,partial_county,new_england_towns
6560,"Pueblo, CO SMA",Pueblo,CO,08101,Pueblo County,1,0,
6600,"Racine, WI SMA",Racine,WI,55101,Racine County,1,0,
6640,"Raleigh, NC SMA",Raleigh,NC,37183,Wake County,1,0,
6680,"Reading, PA SMA",Reading,PA,42011,Berks County,1,0,
6760,"Richmond, VA SMA",Richmond,VA,51041,Chesterfield County,0,0,
6760,"Richmond, VA SMA",Richmond,VA,51087,Henrico County,0,0,
6760,"Richmond, VA SMA",Richmond,VA,51760,Richmond city,1,0,
6800,"Roanoke, VA SMA",Roanoke,VA,51161,Roanoke County,1,0,
6800,"Roanoke, VA SMA",Roanoke,VA,51770,Roanoke city,1,0,
6840,"Rochester, NY SMA",Rochester,NY,36055,Monroe County,1,0,
6880,"Rockford, IL SMA",Rockford,IL,17201,Winnebago County,1,0,
6920,"Sacramento, CA SMA",Sacramento,CA,06067,Sacramento County,1,0,
6960,"Saginaw, MI SMA",Saginaw,MI,26145,Saginaw County,1,0,
7000,"St. Joseph, MO SMA",St. Joseph,MO,29021,Buchanan County,1,0,
7040,"St. Louis, MO-IL SMA",St. Louis,IL,17119,"Madison County, IL",0,0,
7040,"St. Louis, MO-IL SMA",St. Louis,IL,17163,"St. Clair County, IL",0,0,
7040,"St. Louis, MO-IL SMA",St. Louis,MO,29183,"St. Charles County, MO",0,0,
7040,"St. Louis, MO-IL SMA",St. Louis,MO,29189,"St. Louis County, MO",0,0,
7040,"St. Louis, MO-IL SMA",St. Louis,MO,29510,"St. Louis city, MO",1,0,
7160,"Salt Lake City, UT SMA",Salt Lake City,UT,49035,Salt Lake County,1,0,
7200,"San Angelo, TX SMA",San Angelo,TX,48451,Tom Green County,1,0,
7240,"San Antonio, TX SMA",San Antonio,TX,48029,Bexar County,1,0,
7280,"San Bernardino, CA SMA",San Bernardino,CA,06071,San Bernardino County,1,0,
7320,"San Diego, CA SMA",San Diego,CA,06073,San Diego County,1,0,
7360,"San Francisco-Oakland, CA SMA",San Francisco|Oakland,CA,06001,Alameda County,1,0,
7360,"San Francisco-Oakland, CA SMA",San Francisco|Oakland,CA,06013,Contra Costa County,0,0,
7360,"San Francisco-Oakland, CA SMA",San Francisco|Oakland,CA,06041,Marin County,0,0,
