fips_5,age_0_4,age_5_17,pop_under18
19015,1536,4679,6215
19017,1342,4048,5390
19019,1501,4061,5562
19021,1469,3599,5068
19023,970,2592,3562
19025,529,1511,2040
19027,1436,3687,5123
19029,877,2232,3109
19031,1080,3342,4422
19033,2522,6894,9416
19035,652,1858,2510
19037,796,2208,3004
19039,658,1683,2341
19041,1031,2761,3792
19043,1039,3066,4105
19045,3044,8416,11460
19047,1292,3304,4596
19049,5949,14227,20176
19051,721,1835,2556
19053,495,1344,1839
19055,1076,3309,4385
19057,2559,6710,9269
19059,830,2429,3259
19061,6038,16250,22288
19063,578,1652,2230
19065,1260,3380,4640
19067,1001,2798,3799
19069,659,1857,2516
19071,443,1208,1651
19073,541,1604,2145
19075,820,2149,2969
19077,585,1953,2538
19079,900,2756,3656
19081,635,1998,2633
19083,991,2926,3917
19085,896,2572,3468
19087,1166,3461,4627
19089,682,1730,2412
19091,600,1652,2252
19093,495,1215,1710
19095,977,2924,3901
19097,1095,3421,4516
19099,2022,6150,8172
19101,736,2286,3022
19103,8255,18367,26622
19105,1155,3407,4562
19107,604,1783,2387
19109,879,2603,3482
19111,2059,5637,7696
19113,14066,37935,52001
19115,671,2190,2861
19117,554,1601,2155
19119,930,2330,3260
19121,1071,3159,4230
19123,1487,3966,5453
19125,2163,6054,8217
19127,2918,7453,10371
19129,902,2864,3766
19131,649,1965,2614
19133,476,1557,2033
19135,527,1433,1960
19137,592,1869,2461
19139,3063,8023,11086
19141,858,2451,3309
19143,362,1052,1414
19145,897,2551,3448
19147,590,1492,2082
19149,1599,4703,6302
19151,410,1139,1549
19153,32779,78699,111478
19155,6275,16159,22434
19157,1023,2901,3924
19159,307,922,1229
19161,563,1705,2268
19163,11162,29375,40537
19165,651,2106,2757
19167,2643,6489,9132
19169,4771,11217,15988
19171,1050,3344,4394
19173,376,1113,1489
19175,845,2135,2980
19177,480,1279,1759
19179,2286,5757,8043
19181,2920,9050,11970
19183,1418,4050,5468
19185,414,1072,1486
19187,2207,6091,8298
19189,583,1716,2299
19191,1021,3163,4184
19193,7844,19318,27162
19195,402,1308,1710
19197,811,2206,3017
20001,857,2287,3144
20003,539,1514,2053
20005,1074,2969,4043
20007,334,785,1119
20009,1949,4901,6850
20011,1092,2675,3767
20013,710,1800,2510
20015,4138,13378,17516
20017,152,462,614
20019,182,550,732
20021,1282,3981,5263
20023,136,423,559
20025,139,388,527
20027,564,1450,2014
20029,577,1481,2058
20031,461,1559,2020
20033,114,333,447
20035,2479,6319,8798
20037,2459,6223,8682
20039,153,399,552
20041,1298,3522,4820
20043,444,1304,1748
20045,6181,15101,21282
20047,180,521,701
20049,136,433,569
20051,1932,4180,6112
20053,333,864,1197
20055,3602,8308,11910
20057,3325,7361,10686
20059,1745,4843,6588
20061,4152,6959,11111
20063,183,434,617
20065,160,361,521
20067,708,1803,2511
20069,514,1327,1841
20071,86,184,270
20073,377,1083,1460
20075,239,504,743
20077,386,999,1385
20079,2336,6422,8758
20081,340,954,1294
20083,127,338,465
20085,859,2668,3527
20087,1047,3529,4576
20089,159,416,575
20091,38934,105534,144468
20093,329,865,1194
20095,441,1429,1870
20097,153,393,546
20099,1378,3742,5120
20101,90,309,399
20103,5143,14025,19168
20105,209,570,779
20107,522,1697,2219
20109,154,487,641
20111,2246,5597,7843
20113,1771,5029,6800
20115,668,2118,2786
20117,636,1633,2269
20119,303,952,1255
20121,2066,6582,8648
20123,386,1006,1392
20125,2309,5874,8183
20127,295,939,1234
20129,216,633,849
20131,687,1968,2655
20133,1139,2950,4089
20135,175,531,706
20137,279,837,1116
20139,1001,3068,4069
20141,208,598,806
20143,378,1140,1518
20145,369,1102,1471
20147,336,986,1322
20149,1901,4615,6516
20151,646,1562,2208
20153,126,335,461
20155,4140,10939,15079
20157,246,700,946
20159,637,1746,2383
20161,5027,8741,13768
20163,337,885,1222
20165,143,475,618
20167,426,1075,1501
20169,3969,9896,13865
20171,347,891,1238
20173,39377,95723,135100
20175,2331,5031,7362
20177,12397,31825,44222
20179,146,444,590
20181,419,964,1383
20183,180,558,738
20185,248,782,1030
20187,188,447,635
20189,477,1224,1701
20191,1584,4567,6151
20193,539,1288,1827
20195,132,420,552
20197,461,1320,1781
20199,84,323,407
20201,322,1011,1333
20203,165,438,603
20205,573,1633,2206
20207,167,533,700
20209,13664,30817,44481
21001,1090,3010,4100
21003,1301,3576,4877
21005,1354,4035,5389
21007,460,1367,1827
21009,2651,7493,10144
21011,808,2086,2894
21013,1657,4585,6242
21015,9094,25083,34177
21017,1208,3569,4777
21019,2818,7693,10511
21021,1523,4599,6122
21023,563,1558,2121
21025,803,2298,3101
21027,1202,3652,4854
21029,4483,14004,18487
21031,808,2120,2928
21033,806,2084,2890
21035,1963,4828,6791
21037,5705,14814,20519
21039,301,830,1131
21041,831,1955,2786
21043,1703,4653,6356
21045,989,2702,3691
21047,7247,13900,21147
21049,2172,5972,8144
21051,1332,3367,4699
21053,635,1732,2367
21055,567,1518,2085
21057,426,1107,1533
21059,6618,17030,23648
21061,648,1949,2597
21063,397,1141,1538
21065,849,2444,3293
21067,19296,44485,63781
21069,943,2576,3519
21071,2476,6308,8784
21073,2906,7601,10507
21075,423,962,1385
21077,579,1734,2313
21079,997,2831,3828
21081,1869,5000,6869
21083,2519,6693,9212
21085,1575,4530,6105
21087,645,1863,2508
21089,2042,6144,8186
21091,543,1657,2200
21093,8060,19935,27995
21095,1900,4762,6662
21097,1124,3294,4418
21099,1189,3324,4513
21101,3050,7793,10843
21103,918,2863,3781
21105,244,748,992
21107,2952,7861,10813
21109,811,2290,3101
21111,49208,122775,171983
21113,3535,8938,12473
21115,1363,3887,5250
21117,11679,28249,39928
21119,984,2482,3466
21121,2108,5654,7762
21123,818,2475,3293
21125,3743,10523,14266
21127,1078,2596,3674
21129,339,1204,1543
21131,689,1719,2408
21133,1501,3942,5443
21135,850,2370,3220
21137,1587,4450,6037
21139,541,1418,1959
21141,1657,4799,6456
21143,328,955,1283
21145,3869,10786,14655
21147,1105,2960,4065
21149,561,1668,2229
21151,5003,13025,18028
21153,760,2329,3089
21155,1343,3532,4875
21157,1635,4791,6426
21159,722,1999,2721
21161,1179,3096,4275
21163,2130,5833,7963
21165,365,1086,1451
21167,1314,3577,4891
21169,647,1777,2424
21171,616,1873,2489
21173,1847,4639,6486
21175,716,2044,2760
21177,1690,5055,6745
21179,2998,8324,11322
21181,439,1246,1685
21183,1610,4383,5993
21185,3209,13316,16525
21187,634,2038,2672
21189,265,816,1081
21191,857,2610,3467
21193,1804,4470,6274
21195,3737,10339,14076
21197,844,2215,3059
21199,3725,10675,14400
21201,139,346,485
21203,980,2972,3952
