fips_5,msa_name_short,County/County Equivalent,state_fips,cbsa_code,pop_under18,aged_out_5_17,pop_under18_2024,delta_under18,births_2012_2024,deaths_2012_2024,net_migration_implied,delta_pct_of_baseline,births_pct_of_baseline,aging_out_pct_of_baseline,net_mig_pct_of_baseline
42029,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Chester County,42,37980,122828,92320,119637.0,-3191.0,70766.0,0,18363.0,-2.597941837366073,57.613899110951905,-75.16201517569284,14.950174227374866
42091,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Montgomery County,42,37980,182401,135404,183319.0,918.0,111948.0,0,24374.0,0.5032867144368726,61.37466351609915,-74.23424213683039,13.36286533516812
42045,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Delaware County,42,37980,128716,94902,127662.0,-1054.0,83835.0,0,10013.0,-0.8188570185524722,65.1317629509929,-73.72976164579384,7.779141676248486
42101,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Philadelphia County,42,37980,344749,239990,326963.0,-17786.0,268946.0,0,-46742.0,-5.15911576248227,78.01211896191141,-69.6129647946767,-13.558269929716982
10003,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",New Castle County,10,37980,123760,90531,122635.0,-1125.0,81856.0,0,7550.0,-0.9090174531351003,66.14091790562378,-73.15045248868778,6.100517129928894
24015,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Cecil County,24,37980,24964,18684,23312.0,-1652.0,12567.0,0,4465.0,-6.617529242108637,50.3404903060407,-74.84377503605192,17.88575548790258
34033,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Salem County,34,37980,15179,11346,14449.0,-730.0,,0,,-4.809275973384281,,-74.74800711509322,
04013,"Phoenix-Mesa-Chandler, AZ",Maricopa County,04,38060,1003357,726695,1014730.0,11373.0,680207.0,0,57861.0,1.1334948577624913,67.7931185011915,-72.42636469372317,5.766741050294163
04021,"Phoenix-Mesa-Chandler, AZ",Pinal County,04,38060,97182,69304,108429.0,11247.0,61680.0,0,18871.0,11.573130826696302,63.46854355744891,-71.31361774814266,19.418205017390054
51013,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Arlington County,51,47900,34639,22052,42416.0,7777.0,36760.0,0,-6931.0,22.451571927596063,106.12315598025349,-63.66234591067872,-20.009238141978695
51043,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Clarke County,51,47900,3161,2431,3016.0,-145.0,,0,,-4.587155963302752,,-76.90604239164821,
51047,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Culpeper County,51,47900,12087,8809,13895.0,1808.0,,0,,14.958219574749732,,-72.8799536692314,
51059,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Fairfax County,51,47900,267021,192113,258034.0,-8987.0,176615.0,0,6511.0,-3.3656528887241075,66.14273783709895,-71.94677572175972,2.4383849959366493
51061,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Fauquier County,51,47900,16410,12583,17455.0,1045.0,,0,,6.368068251066424,,-76.67885435709933,
51107,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Loudoun County,51,47900,99162,71454,113295.0,14133.0,64462.0,0,21125.0,14.252435408725116,65.00675662047962,-72.05784473891208,21.30352352715758
51153,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Prince William County,51,47900,119679,85792,128386.0,8707.0,84961.0,0,9538.0,7.275294746780972,70.99073354556774,-71.68509095162894,7.969652152842187
51157,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Rappahannock County,51,47900,1467,1114,1234.0,-233.0,,0,,-15.882753919563736,,-75.93728698023176,
51177,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Spotsylvania County,51,47900,33598,25417,36430.0,2832.0,17369.0,0,10880.0,8.429073159116614,51.69652955533067,-75.65033632954342,32.38287993332937
51179,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Stafford County,51,47900,37364,28488,43878.0,6514.0,19455.0,0,15547.0,17.43389358741034,52.06883631302859,-76.24451343539236,41.60957070977411
51187,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Warren County,51,47900,8917,6627,9161.0,244.0,,0,,2.736346304811035,,-74.31871705730627,
51510,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Alexandria city,51,47900,25031,14495,28286.0,3255.0,33212.0,0,-15462.0,13.0038751947585,132.6834724941073,-57.90819383963884,-61.77140345970996
51600,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Fairfax city,51,47900,4498,3284,6948.0,2450.0,,0,,54.468652734548684,,-73.0102267674522,
51610,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Falls Church city,51,47900,3147,2343,3545.0,398.0,,0,,12.646965363838577,,-74.45185891325072,
51630,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Fredericksburg city,51,47900,5262,3461,6385.0,1123.0,,0,,21.341695172938046,,-65.77347016343596,
51683,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Manassas city,51,47900,10832,7655,11621.0,789.0,,0,,7.28397341211226,,-70.67023633677991,
51685,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Manassas Park city,51,47900,4255,2909,3498.0,-757.0,,0,,-17.79083431257344,,-68.36662749706228,
54037,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Jefferson County,54,47900,12804,9513,12480.0,-324.0,,0,,-2.530459231490159,,-74.2970946579194,
24021,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Frederick County,24,47900,58889,44134,69133.0,10244.0,38230.0,0,16148.0,17.395438876530424,64.91874543632936,-74.94438689738321,27.421080337584268
24031,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Montgomery County,24,47900,236415,171162,243481.0,7066.0,159856.0,0,18372.0,2.9888120466129475,67.61669098830446,-72.39895945688725,7.771080515195735
11001,"Washington-Arlington-Alexandria, DC-VA-MD-WV",District of Columbia,11,47900,103895,67691,129831.0,25936.0,116604.0,0,-22977.0,24.963665238943165,112.23254247076375,-65.15327975359739,-22.115597478223208
24017,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Charles County,24,47900,38712,29306,40860.0,2148.0,23763.0,0,7691.0,5.548667079975202,61.38406695598264,-75.70262450919611,19.867224633188677
24033,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Prince George's County,24,47900,204276,145053,210097.0,5821.0,151085.0,0,-211.0,2.849576063756878,73.96120934422056,-71.00834165540739,-0.10329162505629638
