county_fips,county_name,state_name,cbsa_code,cbsa_title,central_or_outlying,in_modern_msa
51750,Radford city,Virginia,13980,"Blacksburg-Christiansburg-Radford, VA",Central,True
17113,McLean County,Illinois,14010,"Bloomington, IL",Central,True
18105,Monroe County,Indiana,14020,"Bloomington, IN",Central,True
18119,Owen County,Indiana,14020,"Bloomington, IN",Outlying,True
16001,Ada County,Idaho,14260,"Boise City, ID",Central,True
16015,Boise County,Idaho,14260,"Boise City, ID",Outlying,True
16027,Canyon County,Idaho,14260,"Boise City, ID",Outlying,True
16045,Gem County,Idaho,14260,"Boise City, ID",Outlying,True
16073,Owyhee County,Idaho,14260,"Boise City, ID",Outlying,True
25021,Norfolk County,Massachusetts,14460,"Boston-Cambridge-Newton, MA-NH",Central,True
25023,Plymouth County,Massachusetts,14460,"Boston-Cambridge-Newton, MA-NH",Central,True
25025,Suffolk County,Massachusetts,14460,"Boston-Cambridge-Newton, MA-NH",Central,True
25009,Essex County,Massachusetts,14460,"Boston-Cambridge-Newton, MA-NH",Central,True
25017,Middlesex County,Massachusetts,14460,"Boston-Cambridge-Newton, MA-NH",Central,True
33015,Rockingham County,New Hampshire,14460,"Boston-Cambridge-Newton, MA-NH",Central,True
33017,Strafford County,New Hampshire,14460,"Boston-Cambridge-Newton, MA-NH",Outlying,True
08013,Boulder County,Colorado,14500,"Boulder, CO",Central,True
21003,Allen County,Kentucky,14540,"Bowling Green, KY",Outlying,True
21031,Butler County,Kentucky,14540,"Bowling Green, KY",Outlying,True
21061,Edmonson County,Kentucky,14540,"Bowling Green, KY",Outlying,True
21227,Warren County,Kentucky,14540,"Bowling Green, KY",Central,True
30031,Gallatin County,Montana,14580,"Bozeman, MT",Central,True
53035,Kitsap County,Washington,14740,"Bremerton-Silverdale-Port Orchard, WA",Central,True
09120,Greater Bridgeport Planning Region,Connecticut,14860,"Bridgeport-Stamford-Danbury, CT",Central,True
09190,Western Connecticut Planning Region,Connecticut,14860,"Bridgeport-Stamford-Danbury, CT",Central,True
48061,Cameron County,Texas,15180,"Brownsville-Harlingen, TX",Central,True
13025,Brantley County,Georgia,15260,"Brunswick-St. Simons, GA",Outlying,True
13127,Glynn County,Georgia,15260,"Brunswick-St. Simons, GA",Central,True
13191,McIntosh County,Georgia,15260,"Brunswick-St. Simons, GA",Outlying,True
36029,Erie County,New York,15380,"Buffalo-Cheektowaga, NY",Central,True
36063,Niagara County,New York,15380,"Buffalo-Cheektowaga, NY",Central,True
37001,Alamance County,North Carolina,15500,"Burlington, NC",Central,True
50007,Chittenden County,Vermont,15540,"Burlington-South Burlington, VT",Central,True
50011,Franklin County,Vermont,15540,"Burlington-South Burlington, VT",Outlying,True
50013,Grand Isle County,Vermont,15540,"Burlington-South Burlington, VT",Outlying,True
39019,Carroll County,Ohio,15940,"Canton-Massillon, OH",Outlying,True
39151,Stark County,Ohio,15940,"Canton-Massillon, OH",Central,True
12071,Lee County,Florida,15980,"Cape Coral-Fort Myers, FL",Central,True
17003,Alexander County,Illinois,16020,"Cape Girardeau, MO-IL",Outlying,True
29017,Bollinger County,Missouri,16020,"Cape Girardeau, MO-IL",Outlying,True
29031,Cape Girardeau County,Missouri,16020,"Cape Girardeau, MO-IL",Central,True
32510,Carson City,Nevada,16180,"Carson City, NV",Central,True
56025,Natrona County,Wyoming,16220,"Casper, WY",Central,True
19011,Benton County,Iowa,16300,"Cedar Rapids, IA",Outlying,True
19105,Jones County,Iowa,16300,"Cedar Rapids, IA",Outlying,True
19113,Linn County,Iowa,16300,"Cedar Rapids, IA",Central,True
42055,Franklin County,Pennsylvania,16540,"Chambersburg, PA",Central,True
17019,Champaign County,Illinois,16580,"Champaign-Urbana, IL",Central,True
17053,Ford County,Illinois,16580,"Champaign-Urbana, IL",Outlying,True
17147,Piatt County,Illinois,16580,"Champaign-Urbana, IL",Outlying,True
54005,Boone County,West Virginia,16620,"Charleston, WV",Outlying,True
54015,Clay County,West Virginia,16620,"Charleston, WV",Outlying,True
54039,Kanawha County,West Virginia,16620,"Charleston, WV",Central,True
45015,Berkeley County,South Carolina,16700,"Charleston-North Charleston, SC",Central,True
45019,Charleston County,South Carolina,16700,"Charleston-North Charleston, SC",Central,True
45035,Dorchester County,South Carolina,16700,"Charleston-North Charleston, SC",Central,True
37007,Anson County,North Carolina,16740,"Charlotte-Concord-Gastonia, NC-SC",Outlying,True
37025,Cabarrus County,North Carolina,16740,"Charlotte-Concord-Gastonia, NC-SC",Outlying,True
37071,Gaston County,North Carolina,16740,"Charlotte-Concord-Gastonia, NC-SC",Outlying,True
37097,Iredell County,North Carolina,16740,"Charlotte-Concord-Gastonia, NC-SC",Central,True
37109,Lincoln County,North Carolina,16740,"Charlotte-Concord-Gastonia, NC-SC",Outlying,True
37119,Mecklenburg County,North Carolina,16740,"Charlotte-Concord-Gastonia, NC-SC",Central,True
37159,Rowan County,North Carolina,16740,"Charlotte-Concord-Gastonia, NC-SC",Outlying,True
37179,Union County,North Carolina,16740,"Charlotte-Concord-Gastonia, NC-SC",Central,True
45023,Chester County,South Carolina,16740,"Charlotte-Concord-Gastonia, NC-SC",Outlying,True
45057,Lancaster County,South Carolina,16740,"Charlotte-Concord-Gastonia, NC-SC",Outlying,True
45091,York County,South Carolina,16740,"Charlotte-Concord-Gastonia, NC-SC",Outlying,True
51003,Albemarle County,Virginia,16820,"Charlottesville, VA",Central,True
51065,Fluvanna County,Virginia,16820,"Charlottesville, VA",Outlying,True
51079,Greene County,Virginia,16820,"Charlottesville, VA",Outlying,True
51125,Nelson County,Virginia,16820,"Charlottesville, VA",Outlying,True
51540,Charlottesville city,Virginia,16820,"Charlottesville, VA",Central,True
13047,Catoosa County,Georgia,16860,"Chattanooga, TN-GA",Central,True
13083,Dade County,Georgia,16860,"Chattanooga, TN-GA",Outlying,True
13295,Walker County,Georgia,16860,"Chattanooga, TN-GA",Central,True
47065,Hamilton County,Tennessee,16860,"Chattanooga, TN-GA",Central,True
47115,Marion County,Tennessee,16860,"Chattanooga, TN-GA",Outlying,True
47153,Sequatchie County,Tennessee,16860,"Chattanooga, TN-GA",Outlying,True
56021,Laramie County,Wyoming,16940,"Cheyenne, WY",Central,True
17031,Cook County,Illinois,16980,"Chicago-Naperville-Elgin, IL-IN",Central,True
17043,DuPage County,Illinois,16980,"Chicago-Naperville-Elgin, IL-IN",Central,True
17063,Grundy County,Illinois,16980,"Chicago-Naperville-Elgin, IL-IN",Outlying,True
17111,McHenry County,Illinois,16980,"Chicago-Naperville-Elgin, IL-IN",Central,True
17197,Will County,Illinois,16980,"Chicago-Naperville-Elgin, IL-IN",Central,True
17037,DeKalb County,Illinois,16980,"Chicago-Naperville-Elgin, IL-IN",Outlying,True
17089,Kane County,Illinois,16980,"Chicago-Naperville-Elgin, IL-IN",Central,True
17093,Kendall County,Illinois,16980,"Chicago-Naperville-Elgin, IL-IN",Central,True
17097,Lake County,Illinois,16980,"Chicago-Naperville-Elgin, IL-IN",Central,True
18073,Jasper County,Indiana,16980,"Chicago-Naperville-Elgin, IL-IN",Outlying,True
18089,Lake County,Indiana,16980,"Chicago-Naperville-Elgin, IL-IN",Central,True
18111,Newton County,Indiana,16980,"Chicago-Naperville-Elgin, IL-IN",Outlying,True
18127,Porter County,Indiana,16980,"Chicago-Naperville-Elgin, IL-IN",Central,True
06007,Butte County,California,17020,"Chico, CA",Central,True
18029,Dearborn County,Indiana,17140,"Cincinnati, OH-KY-IN",Outlying,True
18047,Franklin County,Indiana,17140,"Cincinnati, OH-KY-IN",Outlying,True
18115,Ohio County,Indiana,17140,"Cincinnati, OH-KY-IN",Outlying,True
21015,Boone County,Kentucky,17140,"Cincinnati, OH-KY-IN",Central,True
21023,Bracken County,Kentucky,17140,"Cincinnati, OH-KY-IN",Outlying,True
21037,Campbell County,Kentucky,17140,"Cincinnati, OH-KY-IN",Central,True
21077,Gallatin County,Kentucky,17140,"Cincinnati, OH-KY-IN",Outlying,True
21081,Grant County,Kentucky,17140,"Cincinnati, OH-KY-IN",Outlying,True
21117,Kenton County,Kentucky,17140,"Cincinnati, OH-KY-IN",Central,True
21191,Pendleton County,Kentucky,17140,"Cincinnati, OH-KY-IN",Outlying,True
39015,Brown County,Ohio,17140,"Cincinnati, OH-KY-IN",Outlying,True
39017,Butler County,Ohio,17140,"Cincinnati, OH-KY-IN",Central,True
39025,Clermont County,Ohio,17140,"Cincinnati, OH-KY-IN",Central,True
39061,Hamilton County,Ohio,17140,"Cincinnati, OH-KY-IN",Central,True
39165,Warren County,Ohio,17140,"Cincinnati, OH-KY-IN",Central,True
21047,Christian County,Kentucky,17300,"Clarksville, TN-KY",Outlying,True
21221,Trigg County,Kentucky,17300,"Clarksville, TN-KY",Outlying,True
47125,Montgomery County,Tennessee,17300,"Clarksville, TN-KY",Central,True
47161,Stewart County,Tennessee,17300,"Clarksville, TN-KY",Outlying,True
39007,Ashtabula County,Ohio,17410,"Cleveland, OH",Outlying,True
39035,Cuyahoga County,Ohio,17410,"Cleveland, OH",Central,True
39055,Geauga County,Ohio,17410,"Cleveland, OH",Central,True
39085,Lake County,Ohio,17410,"Cleveland, OH",Central,True
39093,Lorain County,Ohio,17410,"Cleveland, OH",Outlying,True
39103,Medina County,Ohio,17410,"Cleveland, OH",Central,True
47011,Bradley County,Tennessee,17420,"Cleveland, TN",Central,True
47139,Polk County,Tennessee,17420,"Cleveland, TN",Outlying,True
16055,Kootenai County,Idaho,17660,"Coeur d'Alene, ID",Central,True
48041,Brazos County,Texas,17780,"College Station-Bryan, TX",Central,True
48051,Burleson County,Texas,17780,"College Station-Bryan, TX",Outlying,True
48395,Robertson County,Texas,17780,"College Station-Bryan, TX",Outlying,True
08041,El Paso County,Colorado,17820,"Colorado Springs, CO",Central,True
08119,Teller County,Colorado,17820,"Colorado Springs, CO",Outlying,True
29019,Boone County,Missouri,17860,"Columbia, MO",Central,True
29053,Cooper County,Missouri,17860,"Columbia, MO",Outlying,True
29089,Howard County,Missouri,17860,"Columbia, MO",Outlying,True
45017,Calhoun County,South Carolina,17900,"Columbia, SC",Outlying,True
45039,Fairfield County,South Carolina,17900,"Columbia, SC",Outlying,True
45055,Kershaw County,South Carolina,17900,"Columbia, SC",Outlying,True
45063,Lexington County,South Carolina,17900,"Columbia, SC",Central,True
45079,Richland County,South Carolina,17900,"Columbia, SC",Central,True
45081,Saluda County,South Carolina,17900,"Columbia, SC",Outlying,True
01113,Russell County,Alabama,17980,"Columbus, GA-AL",Central,True
13053,Chattahoochee County,Georgia,17980,"Columbus, GA-AL",Central,True
13145,Harris County,Georgia,17980,"Columbus, GA-AL",Outlying,True
13197,Marion County,Georgia,17980,"Columbus, GA-AL",Outlying,True
13215,Muscogee County,Georgia,17980,"Columbus, GA-AL",Central,True
13259,Stewart County,Georgia,17980,"Columbus, GA-AL",Outlying,True
13263,Talbot County,Georgia,17980,"Columbus, GA-AL",Outlying,True
