county_fips,county_name,state_name,in_msa_1950,in_msa_1960,in_msa_1970,in_msa_1980,in_msa_1990,in_msa_2000,in_msa_2010,in_msa_2020,first_msa_decade
05103,Ouachita,Arkansas,False,False,False,False,False,False,False,False,0
05105,Perry,Arkansas,False,False,False,False,False,False,True,True,2010
05107,Phillips,Arkansas,False,False,False,False,False,False,False,False,0
05109,Pike,Arkansas,False,False,False,False,False,False,False,False,0
05111,Poinsett,Arkansas,False,False,False,False,False,False,True,True,2010
05113,Polk,Arkansas,False,False,False,False,False,False,False,False,0
05115,Pope,Arkansas,False,False,False,False,False,False,False,False,0
05117,Prairie,Arkansas,False,False,False,False,False,False,False,False,0
05119,Pulaski,Arkansas,True,True,True,True,True,True,True,True,1950
05121,Randolph,Arkansas,False,False,False,False,False,False,False,False,0
05123,St Francis,Arkansas,False,False,False,False,False,False,False,False,0
05125,Saline,Arkansas,False,False,True,True,True,True,True,True,1970
05127,Scott,Arkansas,False,False,False,False,False,False,False,False,0
05129,Searcy,Arkansas,False,False,False,False,False,False,False,False,0
05131,Sebastian,Arkansas,False,True,True,True,True,True,True,True,1960
05133,Sevier,Arkansas,False,False,False,False,False,False,False,False,0
05135,Sharp,Arkansas,False,False,False,False,False,False,False,False,0
05137,Stone,Arkansas,False,False,False,False,False,False,False,False,0
05139,Union,Arkansas,False,False,False,False,False,False,False,False,0
05141,Van Buren,Arkansas,False,False,False,False,False,False,False,False,0
05143,Washington,Arkansas,False,False,True,True,True,True,True,True,1970
05145,White,Arkansas,False,False,False,False,False,False,False,False,0
05147,Woodruff,Arkansas,False,False,False,False,False,False,False,False,0
05149,Yell,Arkansas,False,False,False,False,False,False,False,False,0
06001,Alameda,California,True,True,True,True,True,True,True,True,1950
06003,Alpine,California,False,False,False,False,False,False,False,False,0
06005,Amador,California,False,False,False,False,False,False,False,False,0
06007,Butte,California,False,False,False,True,True,True,True,True,1980
06009,Calaveras,California,False,False,False,False,False,False,False,False,0
06011,Colusa,California,False,False,False,False,False,False,False,False,0
06013,Contra Costa,California,True,True,True,True,True,True,True,True,1950
06015,Del Norte,California,False,False,False,False,False,False,False,False,0
06017,El Dorado,California,False,False,False,True,True,True,True,True,1980
06019,Fresno,California,True,True,True,True,True,True,True,True,1950
06021,Glenn,California,False,False,False,False,False,False,False,False,0
06023,Humboldt,California,False,False,False,False,False,False,False,False,0
06025,Imperial,California,False,False,False,False,False,False,True,True,2010
06027,Inyo,California,False,False,False,False,False,False,False,False,0
06029,Kern,California,False,True,True,True,True,True,True,True,1960
06031,Kings,California,False,False,False,False,False,False,True,True,2010
06033,Lake,California,False,False,False,False,False,False,False,False,0
06035,Lassen,California,False,False,False,False,False,False,False,False,0
06037,Los Angeles,California,True,True,True,True,True,True,True,True,1950
06039,Madera,California,False,False,False,False,True,True,True,True,1990
06041,Marin,California,True,True,True,True,True,True,True,True,1950
06043,Mariposa,California,False,False,False,False,False,False,False,False,0
06045,Mendocino,California,False,False,False,False,False,False,False,False,0
06047,Merced,California,False,False,False,False,True,True,True,True,1990
06049,Modoc,California,False,False,False,False,False,False,False,False,0
06051,Mono,California,False,False,False,False,False,False,False,False,0
06053,Monterey,California,False,False,True,True,True,True,True,True,1970
06055,Napa,California,False,False,True,True,True,True,True,True,1970
06057,Nevada,California,False,False,False,False,False,False,False,False,0
06059,Orange,California,True,True,True,True,True,True,True,True,1950
06061,Placer,California,False,False,True,True,True,True,True,True,1970
06063,Plumas,California,False,False,False,False,False,False,False,False,0
06065,Riverside,California,False,True,True,True,True,True,True,True,1960
06067,Sacramento,California,True,True,True,True,True,True,True,True,1950
06069,San Benito,California,False,False,False,False,False,False,True,True,2010
06071,San Bernardino,California,True,True,True,True,True,True,True,True,1950
06073,San Diego,California,True,True,True,True,True,True,True,True,1950
06075,San Francisco,California,True,True,True,True,True,True,True,True,1950
06077,San Joaquin,California,True,True,True,True,True,True,True,True,1950
06079,San Luis Obispo,California,False,False,False,False,True,True,True,True,1990
06081,San Mateo,California,True,True,True,True,True,True,True,True,1950
06083,Santa Barbara,California,False,True,True,True,True,True,True,True,1960
06085,Santa Clara,California,True,True,True,True,True,True,True,True,1950
06087,Santa Cruz,California,False,False,True,True,True,True,True,True,1970
06089,Shasta,California,False,False,False,True,True,True,True,True,1980
06091,Sierra,California,False,False,False,False,False,False,False,False,0
06093,Siskiyou,California,False,False,False,False,False,False,False,False,0
06095,Solano,California,True,True,True,True,True,True,True,True,1950
06097,Sonoma,California,False,False,True,True,True,True,True,True,1970
06099,Stanislaus,California,False,False,True,True,True,True,True,True,1970
06101,Sutter,California,False,False,False,True,True,True,True,True,1980
06103,Tehama,California,False,False,False,False,False,False,False,False,0
06105,Trinity,California,False,False,False,False,False,False,False,False,0
06107,Tulare,California,False,False,False,True,True,True,True,True,1980
06109,Tuolumne,California,False,False,False,False,False,False,False,False,0
06111,Ventura,California,False,False,True,True,True,True,True,True,1970
