csa_code,csa_short,CSA Title,County/County Equivalent,State Name,state_fips,county_fips,fips_5,is_inner,pop_under18,pop_under18_2024,delta_under18,delta_pct
370,Miami,"Miami-Port St. Lucie-Fort Lauderdale, FL",Miami-Dade County,Florida,12,86,12086,True,547850.0,560291.0,12441.0,2.2708770648900245
370,Miami,"Miami-Port St. Lucie-Fort Lauderdale, FL",Palm Beach County,Florida,12,99,12099,False,269287.0,296112.0,26825.0,9.961490900043449
176,Chicago,"Chicago-Naperville, IL-IN-WI",LaPorte County,Indiana,18,91,18091,False,24935.0,23206.0,-1729.0,-6.934028474032485
206,Dallas,"Dallas-Fort Worth, TX-OK",Palo Pinto County,Texas,48,363,48363,False,6877.0,6916.0,39.0,0.5671077504725899
408,New York,"New York-Newark, NY-NJ-CT-PA",Sullivan County,New York,36,105,36105,False,17023.0,17223.0,200.0,1.1748810432943664
408,New York,"New York-Newark, NY-NJ-CT-PA",Middlesex County,New Jersey,34,23,34023,False,184822.0,187435.0,2613.0,1.4137927303026696
408,New York,"New York-Newark, NY-NJ-CT-PA",Monmouth County,New Jersey,34,25,34025,False,146790.0,132733.0,-14057.0,-9.576265413175285
408,New York,"New York-Newark, NY-NJ-CT-PA",Ocean County,New Jersey,34,29,34029,False,135875.0,166276.0,30401.0,22.374241030358785
408,New York,"New York-Newark, NY-NJ-CT-PA",Somerset County,New Jersey,34,35,34035,False,79988.0,73710.0,-6278.0,-7.848677301595239
408,New York,"New York-Newark, NY-NJ-CT-PA",Nassau County,New York,36,59,36059,False,308094.0,295441.0,-12653.0,-4.106863489714178
408,New York,"New York-Newark, NY-NJ-CT-PA",Suffolk County,New York,36,103,36103,False,351829.0,314488.0,-37341.0,-10.613394575205568
408,New York,"New York-Newark, NY-NJ-CT-PA",Essex County,New Jersey,34,13,34013,False,193233.0,205811.0,12578.0,6.509240140141694
408,New York,"New York-Newark, NY-NJ-CT-PA",Hunterdon County,New Jersey,34,19,34019,False,29141.0,24967.0,-4174.0,-14.323461789231667
408,New York,"New York-Newark, NY-NJ-CT-PA",Morris County,New Jersey,34,27,34027,False,115800.0,106446.0,-9354.0,-8.077720207253886
408,New York,"New York-Newark, NY-NJ-CT-PA",Sussex County,New Jersey,34,37,34037,False,34331.0,28630.0,-5701.0,-16.6059829308788
408,New York,"New York-Newark, NY-NJ-CT-PA",Union County,New Jersey,34,39,34039,False,130856.0,139069.0,8213.0,6.276364859081738
408,New York,"New York-Newark, NY-NJ-CT-PA",Bergen County,New Jersey,34,3,34003,False,203792.0,201694.0,-2098.0,-1.029481039491246
408,New York,"New York-Newark, NY-NJ-CT-PA",Hudson County,New Jersey,34,17,34017,False,133551.0,141223.0,7672.0,5.744621904740511
408,New York,"New York-Newark, NY-NJ-CT-PA",Passaic County,New Jersey,34,31,34031,False,124184.0,123669.0,-515.0,-0.4147072086581202
408,New York,"New York-Newark, NY-NJ-CT-PA",Bronx County,New York,36,5,36005,True,367236.0,332553.0,-34683.0,-9.444335522661177
408,New York,"New York-Newark, NY-NJ-CT-PA",Kings County,New York,36,47,36047,True,600913.0,562076.0,-38837.0,-6.46299880348736
408,New York,"New York-Newark, NY-NJ-CT-PA",New York County,New York,36,61,36061,True,236564.0,220513.0,-16051.0,-6.785056052484739
408,New York,"New York-Newark, NY-NJ-CT-PA",Putnam County,New York,36,79,36079,False,23020.0,18840.0,-4180.0,-18.158123370981755
408,New York,"New York-Newark, NY-NJ-CT-PA",Queens County,New York,36,81,36081,True,465639.0,439104.0,-26535.0,-5.698620605232809
408,New York,"New York-Newark, NY-NJ-CT-PA",Richmond County,New York,36,85,36085,True,108320.0,105407.0,-2913.0,-2.6892540620384047
408,New York,"New York-Newark, NY-NJ-CT-PA",Rockland County,New York,36,87,36087,False,87981.0,105541.0,17560.0,19.958854752730705
408,New York,"New York-Newark, NY-NJ-CT-PA",Westchester County,New York,36,119,36119,False,226394.0,208740.0,-17654.0,-7.7979098385999635
370,Miami,"Miami-Port St. Lucie-Fort Lauderdale, FL",Okeechobee County,Florida,12,93,12093,False,9401.0,9127.0,-274.0,-2.9145835549409638
176,Chicago,"Chicago-Naperville, IL-IN-WI",Bureau County,Illinois,17,11,17011,False,7884.0,6514.0,-1370.0,-17.376966007102993
176,Chicago,"Chicago-Naperville, IL-IN-WI",LaSalle County,Illinois,17,99,17099,False,25862.0,22660.0,-3202.0,-12.381099682932488
176,Chicago,"Chicago-Naperville, IL-IN-WI",Putnam County,Illinois,17,155,17155,False,1244.0,1051.0,-193.0,-15.514469453376206
348,Los Angeles,"Los Angeles-Long Beach, CA",Ventura County,California,06,111,06111,False,209808.0,176417.0,-33391.0,-15.915027072370929
429,Phoenix,"Phoenix-Mesa, AZ",Gila County,Arizona,04,7,04007,False,11292.0,10040.0,-1252.0,-11.087495572086432
428,Philadelphia,"Philadelphia-Reading-Camden, PA-NJ-DE-MD",Burlington County,New Jersey,34,5,34005,False,102554.0,96272.0,-6282.0,-6.12555336700665
428,Philadelphia,"Philadelphia-Reading-Camden, PA-NJ-DE-MD",Camden County,New Jersey,34,7,34007,False,122786.0,119827.0,-2959.0,-2.409883862981122
428,Philadelphia,"Philadelphia-Reading-Camden, PA-NJ-DE-MD",Gloucester County,New Jersey,34,15,34015,False,69400.0,65160.0,-4240.0,-6.109510086455332
428,Philadelphia,"Philadelphia-Reading-Camden, PA-NJ-DE-MD",Bucks County,Pennsylvania,42,17,42017,False,140606.0,127178.0,-13428.0,-9.550090323314794
428,Philadelphia,"Philadelphia-Reading-Camden, PA-NJ-DE-MD",Chester County,Pennsylvania,42,29,42029,False,122828.0,119637.0,-3191.0,-2.597941837366073
428,Philadelphia,"Philadelphia-Reading-Camden, PA-NJ-DE-MD",Montgomery County,Pennsylvania,42,91,42091,False,182401.0,183319.0,918.0,0.5032867144368726
428,Philadelphia,"Philadelphia-Reading-Camden, PA-NJ-DE-MD",Delaware County,Pennsylvania,42,45,42045,False,128716.0,127662.0,-1054.0,-0.8188570185524722
428,Philadelphia,"Philadelphia-Reading-Camden, PA-NJ-DE-MD",Philadelphia County,Pennsylvania,42,101,42101,True,344749.0,326963.0,-17786.0,-5.15911576248227
428,Philadelphia,"Philadelphia-Reading-Camden, PA-NJ-DE-MD",New Castle County,Delaware,10,3,10003,False,123760.0,122635.0,-1125.0,-0.9090174531351003
428,Philadelphia,"Philadelphia-Reading-Camden, PA-NJ-DE-MD",Cecil County,Maryland,24,15,24015,False,24964.0,23312.0,-1652.0,-6.617529242108637
428,Philadelphia,"Philadelphia-Reading-Camden, PA-NJ-DE-MD",Salem County,New Jersey,34,33,34033,False,15179.0,14449.0,-730.0,-4.809275973384281
429,Phoenix,"Phoenix-Mesa, AZ",Maricopa County,Arizona,04,13,04013,True,1003357.0,1014730.0,11373.0,1.1334948577624913
429,Phoenix,"Phoenix-Mesa, AZ",Pinal County,Arizona,04,21,04021,False,97182.0,108429.0,11247.0,11.573130826696302
370,Miami,"Miami-Port St. Lucie-Fort Lauderdale, FL",Martin County,Florida,12,85,12085,False,25747.0,26179.0,432.0,1.6778653823746457
370,Miami,"Miami-Port St. Lucie-Fort Lauderdale, FL",St. Lucie County,Florida,12,111,12111,False,61433.0,76165.0,14732.0,23.98059674767633
428,Philadelphia,"Philadelphia-Reading-Camden, PA-NJ-DE-MD",Berks County,Pennsylvania,42,11,42011,False,96891.0,95197.0,-1694.0,-1.7483564004912737
348,Los Angeles,"Los Angeles-Long Beach, CA",Riverside County,California,06,65,06065,False,618808.0,591596.0,-27212.0,-4.397486781037091
348,Los Angeles,"Los Angeles-Long Beach, CA",San Bernardino County,California,06,71,06071,False,590289.0,549148.0,-41141.0,-6.96963690666775
122,Atlanta,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",Floyd County,Georgia,13,115,13115,False,23060.0,22793.0,-267.0,-1.157849089332177
370,Miami,"Miami-Port St. Lucie-Fort Lauderdale, FL",Indian River County,Florida,12,61,12061,False,25724.0,25372.0,-352.0,-1.3683719483750583
206,Dallas,"Dallas-Fort Worth, TX-OK",Grayson County,Texas,48,181,48181,False,28922.0,35818.0,6896.0,23.843440979185395
206,Dallas,"Dallas-Fort Worth, TX-OK",Hopkins County,Texas,48,223,48223,False,8977.0,9303.0,326.0,3.6315027291968365
122,Atlanta,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",Upson County,Georgia,13,293,13293,False,6257.0,6408.0,151.0,2.413297107239891
408,New York,"New York-Newark, NY-NJ-CT-PA",Mercer County,New Jersey,34,21,34021,False,82122.0,86317.0,4195.0,5.108253573950951
428,Philadelphia,"Philadelphia-Reading-Camden, PA-NJ-DE-MD",Cumberland County,New Jersey,34,11,34011,False,37502.0,37710.0,208.0,0.5546370860220788
548,Washington,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",Arlington County,Virginia,51,13,51013,True,34639.0,42416.0,7777.0,22.451571927596063
548,Washington,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",Clarke County,Virginia,51,43,51043,False,3161.0,3016.0,-145.0,-4.587155963302752
548,Washington,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",Culpeper County,Virginia,51,47,51047,False,12087.0,13895.0,1808.0,14.958219574749732
548,Washington,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",Fairfax County,Virginia,51,59,51059,False,267021.0,258034.0,-8987.0,-3.3656528887241075
548,Washington,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",Fauquier County,Virginia,51,61,51061,False,16410.0,17455.0,1045.0,6.368068251066424
548,Washington,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",Loudoun County,Virginia,51,107,51107,False,99162.0,113295.0,14133.0,14.252435408725116
548,Washington,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",Prince William County,Virginia,51,153,51153,False,119679.0,128386.0,8707.0,7.275294746780972
548,Washington,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",Rappahannock County,Virginia,51,157,51157,False,1467.0,1234.0,-233.0,-15.882753919563736
