year,sma_code,sma_name,central_city,state_fips,matched_place_name,under18
2010,3360,"Houston, TX SMA",Houston,48,Houston city,543024
2010,5080,"Milwaukee, WI SMA",Milwaukee,55,Milwaukee city,161347
2010,3760,"Kansas City, MO-KS SMA",Kansas City,29,Kansas City city,111058
2010,3760,"Kansas City, MO-KS SMA",Kansas City,20,Kansas City city,41382
2010,8840,"Washington, DC-MD-VA SMA",Washington,11,Washington city,100815
2010,5560,"New Orleans, LA SMA",New Orleans,22,New Orleans city,73215
2010,520,"Atlanta, GA SMA",Atlanta,13,Atlanta city,81410
2010,7600,"Seattle, WA SMA",Seattle,53,Seattle city,93513
2010,6440,"Portland, OR-WA SMA",Portland,41,Portland city,111523
2010,1000,"Birmingham, AL SMA",Birmingham,01,Birmingham city,45691
2010,1920,"Dallas, TX SMA",Dallas,48,Dallas city,317128
2010,5440,"New Britain-Bristol, CT SMA",New Britain,09,New Britain city,17061
2010,5440,"New Britain-Bristol, CT SMA",Bristol,09,Bristol city,12963
2010,8880,"Waterbury, CT SMA",Waterbury,09,Waterbury city,28265
2010,4520,"Louisville, KY-IN SMA",Louisville,21,Louisville/Jefferson County metro government (balance),140892
2010,7240,"San Antonio, TX SMA",San Antonio,48,San Antonio city,356000
2010,2080,"Denver, CO SMA",Denver,08,Denver city,128766
2010,9320,"Youngstown, OH-PA SMA",Youngstown,39,Youngstown city,15286
2010,3480,"Indianapolis, IN SMA",Indianapolis,18,Indianapolis city (balance),204855
2010,7320,"San Diego, CA SMA",San Diego,06,San Diego city,279368
2010,9240,"Worcester, MA SMA",Worcester,25,Worcester city,39942
2010,3280,"Hartford, CT SMA",Hartford,09,Hartford city,32217
2010,5480,"New Haven, CT SMA",New Haven,09,New Haven city,29582
2010,4920,"Memphis, TN SMA",Memphis,47,Memphis city,167968
2010,4160,"Lawrence, MA SMA",Lawrence,25,Lawrence city,22182
2010,8040,"Stamford-Norwalk, CT SMA",Stamford,09,Stamford city,26461
2010,8040,"Stamford-Norwalk, CT SMA",Norwalk,09,Norwalk city,18874
2010,2000,"Dayton, OH SMA",Dayton,39,Dayton city,32441
2010,1840,"Columbus, OH SMA",Columbus,39,Columbus city,182419
2010,160,"Albany-Schenectady-Troy, NY SMA",Albany,36,Albany city,17556
2010,160,"Albany-Schenectady-Troy, NY SMA",Schenectady,36,Schenectady city,16123
2010,160,"Albany-Schenectady-Troy, NY SMA",Troy,36,Troy city,10102
2010,6840,"Rochester, NY SMA",Rochester,36,Rochester city,52233
2010,5720,"Norfolk-Portsmouth, VA SMA",Norfolk,51,Norfolk city,50612
2010,5720,"Norfolk-Portsmouth, VA SMA",Portsmouth,51,Portsmouth city,22666
2010,2480,"Fall River, MA-RI SMA",Fall River,25,Fall River city,19069
2010,80,"Akron, OH SMA",Akron,39,Akron city,45541
2020,5600,"New York-Northeastern NJ, NY-NJ SMA",New York,36,New York city,1740142
2020,5600,"New York-Northeastern NJ, NY-NJ SMA",Newark,34,Newark city,76423
2020,1600,"Chicago, IL-IN SMA",Chicago,17,Chicago city,545173
2020,4480,"Los Angeles, CA SMA",Los Angeles,06,Los Angeles city,751492
2020,6160,"Philadelphia, PA-NJ SMA",Philadelphia,42,Philadelphia city,325435
2020,2160,"Detroit, MI SMA",Detroit,26,Detroit city,158993
2020,1120,"Boston, MA SMA",Boston,25,Boston city,101811
2020,6280,"Pittsburgh, PA SMA",Pittsburgh,42,Pittsburgh city,44424
2020,7360,"San Francisco-Oakland, CA SMA",San Francisco,06,San Francisco city,113227
2020,7360,"San Francisco-Oakland, CA SMA",Oakland,06,Oakland city,84252
2020,6480,"Providence, RI SMA",Providence,44,Providence city,41021
2020,7040,"St. Louis, MO-IL SMA",St. Louis,29,St. Louis city,54031
2020,1680,"Cleveland, OH SMA",Cleveland,39,Cleveland city,79979
2020,720,"Baltimore, MD SMA",Baltimore,24,Baltimore city,114008
2020,5120,"Minneapolis-St. Paul, MN SMA",Minneapolis,27,Minneapolis city,80713
2020,5120,"Minneapolis-St. Paul, MN SMA",St. Paul,27,St. Paul city,74284
2020,1280,"Buffalo, NY SMA",Buffalo,36,Buffalo city,64299
2020,4560,"Lowell, MA SMA",Lowell,25,Lowell city,25336
2020,1160,"Bridgeport, CT SMA",Bridgeport,09,Bridgeport city,34938
2020,1200,"Brockton, MA SMA",Brockton,25,Brockton city,25481
2020,8000,"Springfield-Holyoke, MA-CT SMA",Springfield,25,Springfield city,38013
2020,8000,"Springfield-Holyoke, MA-CT SMA",Holyoke,25,Holyoke city,8511
2020,1640,"Cincinnati, OH-KY SMA",Cincinnati,39,Cincinnati city,64252
2020,3360,"Houston, TX SMA",Houston,48,Houston city,544476
2020,5080,"Milwaukee, WI SMA",Milwaukee,55,Milwaukee city,144462
2020,3760,"Kansas City, MO-KS SMA",Kansas City,29,Kansas City city,114264
2020,3760,"Kansas City, MO-KS SMA",Kansas City,20,Kansas City city,42509
2020,8840,"Washington, DC-MD-VA SMA",Washington,11,Washington city,114384
2020,5560,"New Orleans, LA SMA",New Orleans,22,New Orleans city,77801
2020,520,"Atlanta, GA SMA",Atlanta,13,Atlanta city,85449
2020,7600,"Seattle, WA SMA",Seattle,53,Seattle city,106841
2020,6440,"Portland, OR-WA SMA",Portland,41,Portland city,111229
2020,1000,"Birmingham, AL SMA",Birmingham,01,Birmingham city,37567
2020,1920,"Dallas, TX SMA",Dallas,48,Dallas city,304674
2020,5440,"New Britain-Bristol, CT SMA",New Britain,09,New Britain city,16550
2020,5440,"New Britain-Bristol, CT SMA",Bristol,09,Bristol city,12029
2020,8880,"Waterbury, CT SMA",Waterbury,09,Waterbury city,28347
2020,4520,"Louisville, KY-IN SMA",Louisville,21,Louisville city,49408
2020,7240,"San Antonio, TX SMA",San Antonio,48,San Antonio city,340077
2020,2080,"Denver, CO SMA",Denver,08,Denver city,134460
2020,9320,"Youngstown, OH-PA SMA",Youngstown,39,Youngstown city,13195
2020,3480,"Indianapolis, IN SMA",Indianapolis,18,Indianapolis city (balance),212828
2020,7320,"San Diego, CA SMA",San Diego,06,San Diego city,261863
2020,9240,"Worcester, MA SMA",Worcester,25,Worcester city,40993
2020,3280,"Hartford, CT SMA",Hartford,09,Hartford city,28003
2020,5480,"New Haven, CT SMA",New Haven,09,New Haven city,29013
2020,4920,"Memphis, TN SMA",Memphis,47,Memphis city,151576
2020,4160,"Lawrence, MA SMA",Lawrence,25,Lawrence city,23362
2020,8040,"Stamford-Norwalk, CT SMA",Stamford,09,Stamford city,26755
2020,8040,"Stamford-Norwalk, CT SMA",Norwalk,09,Norwalk city,18502
2020,2000,"Dayton, OH SMA",Dayton,39,Dayton city,30435
2020,1840,"Columbus, OH SMA",Columbus,39,Columbus city,198225
2020,160,"Albany-Schenectady-Troy, NY SMA",Albany,36,Albany city,17635
2020,160,"Albany-Schenectady-Troy, NY SMA",Schenectady,36,Schenectady city,15119
2020,160,"Albany-Schenectady-Troy, NY SMA",Troy,36,Troy city,9912
2020,6840,"Rochester, NY SMA",Rochester,36,Rochester city,46671
2020,5720,"Norfolk-Portsmouth, VA SMA",Norfolk,51,Norfolk city,45519
2020,5720,"Norfolk-Portsmouth, VA SMA",Portsmouth,51,Portsmouth city,21751
2020,2480,"Fall River, MA-RI SMA",Fall River,25,Fall River city,19609
2020,80,"Akron, OH SMA",Akron,39,Akron city,40751
