state,year,bin,share
Minnesota,2008,0 kids,81.79715754857017
Minnesota,2008,1 kid,8.292806941289355
Minnesota,2008,2 kids,6.022782256411097
Minnesota,2008,3+ kids,3.887253253729385
Minnesota,2009,0 kids,83.43806996464599
Minnesota,2009,1 kid,7.947306093165178
Minnesota,2009,2 kids,5.1310864660679245
Minnesota,2009,3+ kids,3.4835374761209126
Minnesota,2010,0 kids,82.58149678604224
Minnesota,2010,1 kid,8.58011937557392
Minnesota,2010,2 kids,4.96728650137741
Minnesota,2010,3+ kids,3.871097337006428
Minnesota,2011,0 kids,85.5187419641974
Minnesota,2011,1 kid,8.078330531104736
Minnesota,2011,2 kids,3.9096034022351893
Minnesota,2011,3+ kids,2.4933241024626644
Minnesota,2012,0 kids,81.16714072217134
Minnesota,2012,1 kid,7.635507560783558
Minnesota,2012,2 kids,7.171093862989925
Minnesota,2012,3+ kids,4.026257854055183
Minnesota,2013,0 kids,81.2534082122655
Minnesota,2013,1 kid,11.628209823790339
Minnesota,2013,2 kids,4.6473772026207625
Minnesota,2013,3+ kids,2.471004761323404
Minnesota,2014,0 kids,83.57916460029756
Minnesota,2014,1 kid,7.619702762802157
Minnesota,2014,2 kids,6.038330480410821
Minnesota,2014,3+ kids,2.7628021564894656
Minnesota,2015,0 kids,81.16250064575169
Minnesota,2015,1 kid,9.905461952310315
Minnesota,2015,2 kids,5.641286780171364
Minnesota,2015,3+ kids,3.290750621766629
Minnesota,2016,0 kids,83.9971597476799
Minnesota,2016,1 kid,7.726477096337396
Minnesota,2016,2 kids,4.444499488094059
Minnesota,2016,3+ kids,3.831863667888636
Minnesota,2017,0 kids,83.26211945081529
Minnesota,2017,1 kid,6.77762417920764
Minnesota,2017,2 kids,6.737566370291244
Minnesota,2017,3+ kids,3.222689999685821
Minnesota,2018,0 kids,85.73437252656181
Minnesota,2018,1 kid,8.523060591669692
Minnesota,2018,2 kids,3.8019945805514426
Minnesota,2018,3+ kids,1.940572301217048
Minnesota,2019,0 kids,87.3422250847579
Minnesota,2019,1 kid,6.314574779271663
Minnesota,2019,2 kids,3.8590558999543787
Minnesota,2019,3+ kids,2.484144236016066
Minnesota,2021,0 kids,86.07579959327047
