state,year,bin,share
Kansas,2022,Master's+,20.67507701994648
Kansas,2023,<HS,3.841884779261699
Kansas,2023,HS/GED,19.580006444913888
Kansas,2023,Some college,25.734899208707795
Kansas,2023,Bachelor's,28.42565075727738
Kansas,2023,Master's+,22.417558809839235
Kansas,2024,<HS,6.974677920924035
Kansas,2024,HS/GED,16.437139049311416
Kansas,2024,Some college,27.129356649569885
Kansas,2024,Bachelor's,25.614878235935546
Kansas,2024,Master's+,23.843948144259116
Michigan,2005,<HS,9.712181395390921
Michigan,2005,HS/GED,26.66913980148569
Michigan,2005,Some college,26.234833199120526
Michigan,2005,Bachelor's,18.99638982636784
Michigan,2005,Master's+,18.38745577763502
Michigan,2006,<HS,12.127563158490993
Michigan,2006,HS/GED,23.732379549758047
Michigan,2006,Some college,25.057048989302306
Michigan,2006,Bachelor's,21.75953648707699
Michigan,2006,Master's+,17.32347181537167
Michigan,2007,<HS,7.933265236636024
Michigan,2007,HS/GED,23.177562138236297
Michigan,2007,Some college,28.63806605379639
Michigan,2007,Bachelor's,23.21586653047327
Michigan,2007,Master's+,17.035240040858017
Michigan,2008,<HS,8.748941126641254
Michigan,2008,HS/GED,23.89700691797261
Michigan,2008,Some college,26.451538895948048
Michigan,2008,Bachelor's,26.102993082027385
Michigan,2008,Master's+,14.799519977410702
Michigan,2009,<HS,9.430982277641556
Michigan,2009,HS/GED,21.156883447788413
Michigan,2009,Some college,32.08523485833457
Michigan,2009,Bachelor's,18.834914180504533
Michigan,2009,Master's+,18.491985235730926
Michigan,2010,<HS,7.793628366984184
Michigan,2010,HS/GED,23.08645914042204
Michigan,2010,Some college,29.17825076341097
Michigan,2010,Bachelor's,23.14115126931316
Michigan,2010,Master's+,16.80051045986965
Michigan,2011,<HS,6.884784139537404
Michigan,2011,HS/GED,20.709423469295633
Michigan,2011,Some college,28.873481032085657
Michigan,2011,Bachelor's,22.189119404871533
Michigan,2011,Master's+,21.343191954209775
Michigan,2012,<HS,7.597305744767768
Michigan,2012,HS/GED,24.661555561889017
Michigan,2012,Some college,29.69570876202962
Michigan,2012,Bachelor's,20.242064962331728
Michigan,2012,Master's+,17.803364968981864
Michigan,2013,<HS,7.392018262279981
Michigan,2013,HS/GED,20.2336850958169
Michigan,2013,Some college,26.936862972826848
Michigan,2013,Bachelor's,24.903382126193957
Michigan,2013,Master's+,20.534051542882317
Michigan,2014,<HS,3.7921297139734014
Michigan,2014,HS/GED,21.92840225906358
Michigan,2014,Some college,30.163053379486243
Michigan,2014,Bachelor's,23.44416104937147
Michigan,2014,Master's+,20.6722535981053
Michigan,2015,<HS,7.543932368733071
Michigan,2015,HS/GED,22.6693914535517
Michigan,2015,Some college,26.517510290247643
Michigan,2015,Bachelor's,23.706609857430667
Michigan,2015,Master's+,19.56255603003692
Michigan,2016,<HS,6.644007354989692
Michigan,2016,HS/GED,17.82470607901042
Michigan,2016,Some college,27.950075221485488
Michigan,2016,Bachelor's,24.895525714604112
Michigan,2016,Master's+,22.68568562991029
Michigan,2017,<HS,9.684313095857647
Michigan,2017,HS/GED,19.451672553730997
Michigan,2017,Some college,24.31597479819734
Michigan,2017,Bachelor's,22.036075339659618
Michigan,2017,Master's+,24.511964212554396
Michigan,2018,<HS,5.918644346645827
Michigan,2018,HS/GED,17.636655287294865
Michigan,2018,Some college,25.862707193682393
Michigan,2018,Bachelor's,27.11718010940649
Michigan,2018,Master's+,23.46481306297043
Michigan,2019,<HS,4.214256335621856
Michigan,2019,HS/GED,19.356471667668554
Michigan,2019,Some college,26.610139104206876
Michigan,2019,Bachelor's,29.469210406977357
Michigan,2019,Master's+,20.349922485525358
Michigan,2021,<HS,4.090097241516174
Michigan,2021,HS/GED,21.10041674935503
Michigan,2021,Some college,27.03214923595952
Michigan,2021,Bachelor's,26.713633657471718
Michigan,2021,Master's+,21.06370311569756
Michigan,2022,<HS,4.064290039808996
