iso3,country_oecd,year,pti_index,rhp_index,country,cantril_ladder_score,anglophone
PRT,Portugal,2011,104.00790925915075,106.02919720635376,Portugal,5.327314,False
PRT,Portugal,2014,101.13988233013384,97.78155265630657,Portugal,5.102,False
PRT,Portugal,2015,99.99999999999986,99.9999999999999,Portugal,5.123,False
PRT,Portugal,2016,103.62953437373325,105.97853931881924,Portugal,5.195,False
PRT,Portugal,2017,110.45966378420225,113.9363421417615,Portugal,5.4104,False
PRT,Portugal,2018,116.7026455983825,123.6212781393645,Portugal,5.6925,False
PRT,Portugal,2019,123.22167452722024,134.715229065948,Portugal,5.9109,False
PRT,Portugal,2020,136.6218772018355,145.90639281882025,Portugal,5.929,False
PRT,Portugal,2021,142.028184032993,156.44790359187374,Portugal,6.0163,False
PRT,Portugal,2022,148.20995669709,164.27603369314227,Portugal,5.968,False
PRT,Portugal,2023,147.44871002255675,169.551812070162,Portugal,6.0296,False
SWE,Sweden,2011,83.80586154621835,78.13779696427122,Sweden,7.379463,False
SWE,Sweden,2014,90.48398955629062,89.32604680538242,Sweden,7.364,False
SWE,Sweden,2015,100.00000000000003,100.00000000000006,Sweden,7.291,False
SWE,Sweden,2016,105.09483504572475,107.30424764860125,Sweden,7.284,False
SWE,Sweden,2017,109.28702239283625,112.47030171540625,Sweden,7.3145,False
SWE,Sweden,2018,105.0353857623745,108.699798073655,Sweden,7.3433,False
SWE,Sweden,2019,104.13687228607425,109.153291069387,Sweden,7.3535,False
SWE,Sweden,2020,108.95622703836325,112.75852982011475,Sweden,7.3627,False
SWE,Sweden,2021,113.13882243035275,121.49486314684275,Sweden,7.3843,False
SWE,Sweden,2022,109.58732989447525,118.02234523339625,Sweden,7.3952,False
SWE,Sweden,2023,98.93611414688182,104.6366432874795,Sweden,7.3441,False
USA,United States,2011,91.43006278115313,86.6858622941376,United States,7.270243,True
USA,United States,2014,98.15601337111116,95.30483899819498,United States,7.119,True
USA,United States,2015,100.00000000000007,99.99999999999991,United States,7.104,True
USA,United States,2016,103.33901710808274,104.5029595151545,United States,6.993,True
USA,United States,2017,105.25854586784075,108.98196059896775,United States,6.886,True
USA,United States,2018,106.315960004414,113.28667651359875,United States,6.8923,True
USA,United States,2019,107.2910888188485,117.2764781442705,United States,6.9396,True
USA,United States,2020,107.483288004898,125.05396445453825,United States,6.9515,True
USA,United States,2021,115.98877062421376,139.97291005187725,United States,6.9768,True
USA,United States,2022,131.8994643166295,149.0611412105585,United States,6.8937,True
USA,United States,2023,127.67240409974025,150.4415049364785,United States,6.7248,True
