year,MET2013,n_unweighted,n_movers_unweighted,mover_rate,mover_avg_bedrooms,mover_avg_rooms,mover_median_burden,nonmover_median_burden,mover_avg_trantime,CBSA_Name,zori_name
2024,44180,470,119,29.562235866358343,3.00911690133247,4.2416788045530565,28.560000000000002,24.0,19.926393346950686,"Springfield, MO","Springfield, MO"
2024,44220,145,29,27.80002669870511,3.0350540216086435,4.651860744297719,30.9,23.466666666666665,26.889307228915662,"Springfield, OH","Springfield, OH"
2024,44300,160,44,27.069069673781716,2.5428677701320437,3.3332713408964105,45.10344827586207,32.11851851851852,15.658187206717708,"State College, PA","State College, PA"
2024,44700,724,105,16.476269775187344,3.0491880601037664,4.361498551310558,34.20814479638009,30.585683297180044,34.763997395833336,"Stockton-Lodi, CA","Stockton, CA"
2024,45060,917,184,23.683861556822702,2.8216430825613354,4.120635243815535,32.54328358208956,28.936170212765955,20.567624223602486,"Syracuse, NY","Syracuse, NY"
2024,45300,3230,817,26.880807429661395,2.8665372156701325,4.012518567568051,36.97478991596639,35.18490566037736,27.066737174681375,"Tampa-St. Petersburg-Clearwater, FL","Tampa, FL"
2024,45780,660,133,22.18546210257268,2.8945895020188424,4.210390309555855,31.35,27.61061946902655,21.34024459382846,"Toledo, OH","Toledo, OH"
2024,45820,299,62,21.570856014835197,3.0899889073765947,4.3831114808652245,34.32,24.147783251231527,18.110592283116244,"Topeka, KS","Topeka, KS"
2024,45940,333,67,21.592559233865778,2.8793734570528646,3.9707159274708435,26.228571428571428,29.243999999999996,19.530399458361543,"Trenton, NJ","Trenton, NJ"
2024,46060,1124,307,29.092781066735306,2.7709230033476806,3.859014825442372,32.59701492537314,28.9749430523918,22.972795003010233,"Tucson, AZ","Tucson, AZ"
2024,46140,1136,264,24.03126346402413,2.916239459898591,4.130319074432025,29.264957264957264,27.378947368421052,23.417541820596902,"Tulsa, OK","Tulsa, OK"
