MET2013,mover_rate_2022,mover_rate_2024,delta_mover_rate,mover_avg_bed_2022,mover_avg_bed_2024,delta_mover_avg_bed,mover_avg_rooms_2022,mover_avg_rooms_2024,delta_mover_avg_rooms,mover_burden_2022,mover_burden_2024,delta_mover_burden,nonmover_burden_2022,nonmover_burden_2024,delta_nonmover_burden,mover_trantime_2022,mover_trantime_2024,delta_mover_trantime,n_2022,n_2024,n_movers_2022,n_movers_2024,min_n,CBSA_Name,zori_name,RegionID,zori_pct_change_2022_2024,zori_2022,zori_2024
37100,17.06100357565943,15.479879539106145,-1.5811240365532857,2.895209580838323,2.870938182843448,-0.024271397994874988,3.9881513568607465,3.787974906604638,-0.2001764502561083,37.86618444846293,29.87,-7.99618444846293,33.2,32.64,-0.5600000000000023,25.22585735325058,23.45955362003266,-1.7663037332179172,864,833,136,122,833,"Oxnard-Thousand Oaks-Ventura, CA","Oxnard, CA",394952,6.873411469126475,2680.7968621630675,2865.0590611509665
41740,19.40178360034725,21.892546886339005,2.490763285991754,2.7641962251871135,2.819549467168431,0.055353241981317414,3.711112918971689,3.8323690781838007,0.12125615921211175,36.987610619469024,36.92857142857143,-0.05903919089759313,33.38632750397456,32.43956043956044,-0.9467670644141251,24.10284068639981,24.615850051094498,0.5130093646946889,4265,4279,805,862,4265,"San Diego-Carlsbad, CA","San Diego, CA",395056,6.925036924179154,2632.268228692576,2814.5537754729735
37980,20.534593734656806,21.269695695925204,0.7351019612683984,2.690736902562054,2.7712507934987003,0.08051389093664651,3.779497328072716,3.9552885939801894,0.17579126590747318,30.87769784172662,32.777142857142856,1.8994450154162372,31.384615384615383,30.0,-1.3846153846153832,27.95994231042678,28.998178261181707,1.0382359507549275,4752,4640,923,931,4640,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","Philadelphia, PA",394974,7.471158040772474,1642.5671728268271,1765.2859622345677
33700,17.236147650790066,16.454027588154986,-0.7821200626350802,3.015919093548085,3.0663805436337626,0.050461450085677484,4.12707182320442,4.268478779208393,0.1414069560039728,40.875,40.0,-0.875,33.17868338557994,33.2,0.021316614420065605,21.01814272275232,22.358831710709318,1.340688987956998,528,521,78,75,521,"Modesto, CA","Modesto, CA",394871,7.485695691246004,1906.8981371269795,2049.642728814344
16860,28.05987855704541,27.335596276003887,-0.7242822810415213,2.853526924788607,2.899886644682605,0.04635971989399801,4.1061971517578995,3.976659109645507,-0.1295380421123924,32.313341493268055,29.23846153846154,-3.0748799548065158,25.938864628820962,28.168421052631583,2.229556423810621,24.930908472847793,18.253006366423012,-6.677902106424781,528,610,137,173,528,"Chattanooga, TN-GA","Chattanooga, TN",394460,7.579203548327285,1381.1994173906812,1485.8833326430315
24860,26.389686702513348,28.622736072662796,2.2330493701494483,3.1426634313445616,3.1767122854704635,0.03404885412590186,4.43141592920354,4.453080059420335,0.02166413021679503,33.989999999999995,31.816023738872403,-2.173976261127592,29.333333333333332,26.541176470588233,-2.7921568627450988,23.182406471183015,22.911014845900457,-0.27139162528255767,837,877,197,221,837,"Greenville-Anderson-Mauldin, SC","Greenville, SC",394653,7.714330567930581,1382.8769674514672,1489.5566680684472
46520,25.000600014400348,22.964573570759136,-2.0360264436412123,3.083712,2.9676123934833,-0.1160996065166997,4.07504,3.868621241307258,-0.20641875869274262,37.9746835443038,38.094946401225116,0.12026285692131466,33.800000000000004,28.57941176470588,-5.220588235294123,22.911503226679905,22.96855397482678,0.0570507481468745,1156,1195,260,267,1156,"Urban Honolulu, HI","Urban Honolulu, HI",753924,7.744353286589899,2410.6524502381685,2597.341892496448
19820,19.860829287921984,20.491883247718953,0.6310539597969687,2.8005474786882067,2.8900204930758244,0.08947301438761768,4.157949756975504,4.358401126084167,0.2004513691086629,29.53629976580796,34.52023121387283,4.983931448064872,30.420907840440165,30.270000000000003,-0.15090784044016203,24.842692754464935,22.88748529719801,-1.9552074572669262,2718,2729,535,526,2718,"Detroit-Warren-Dearborn, MI","Detroit, MI",394532,7.832703352063958,1289.5743134124186,1390.582843886429
10900,17.196064723345188,18.698018590998043,1.5019538676528548,2.6577893000235684,2.9216680294358137,0.2638787294122453,4.15549139759604,4.234559825565549,0.07906842796950908,31.636363636363633,37.89473684210527,6.258373205741634,32.0,32.068965517241374,0.06896551724137368,19.044707049004213,30.130739544774357,11.086032495770144,650,643,107,114,643,"Allentown-Bethlehem-Easton, PA-NJ","Allentown, PA",394318,8.257817057796016,1538.7712550586614,1665.8401702393573
40060,23.880089604973197,26.597933417769397,2.7178438127962004,3.0535387431360586,2.8489797677274784,-0.20455897540858015,4.402811673784828,4.013617461377691,-0.38919421240713703,33.65142857142857,33.15183246073298,-0.4995961106955846,30.545454545454547,30.457765667574932,-0.08768887787961432,24.8292025221081,20.845770816158286,-3.9834317059498154,1270,1256,294,309,1256,"Richmond, VA","Richmond, VA",395022,8.453701399408558,1436.4526351484049,1557.8860516677867
47900,25.438291502179084,24.81804879902706,-0.620242703152023,2.7143080873035834,2.753502995731322,0.03919490842773854,3.8527997797952667,3.9474407074902853,0.09464092769501864,31.334622823984525,30.724373576309794,-0.6102492476747301,27.979274611398964,28.64516129032258,0.6658866789236164,28.642328093277804,32.16426592797784,3.521937834700033,6727,6768,1760,1698,6727,"Washington-Arlington-Alexandria, DC-VA-MD-WV","Washington, DC",395209,8.461462418519666,2121.822702144765,2301.359932674363
23420,14.758547407418042,15.826302322285136,1.067754914867093,3.073020042809885,3.110770681121848,0.03775063831196279,4.081922553025881,4.0294131510723545,-0.05250940195352616,40.57931034482758,32.679611650485434,-7.899698694342149,32.4,35.0,2.6000000000000014,25.664319080129356,25.825440213590998,0.16112113346164136,1019,1115,138,158,1019,"Fresno, CA","Fresno, CA",394619,8.631027110638513,1617.2954696710938,1756.8846801175343
38300,21.693970994007834,22.413686300945578,0.7197153069377435,2.8838482732329447,2.8091560859033344,-0.07469218732961025,4.458091458871233,4.283477751946807,-0.17461370692442646,27.631578947368425,29.049773755656112,1.4181948082876872,26.800804828973845,27.154549831487724,0.35374500251387886,23.942745723655058,28.155848416908185,4.213102693253127,2207,2209,463,458,2207,"Pittsburgh, PA","Pittsburgh, PA",394982,8.646472493375756,1262.4319551928068,1371.5877869461385
12540,11.536209436742094,15.882458476152706,4.346249039410612,3.140319279574294,3.407193816884661,0.26687453731036737,4.131068358575522,4.608501783590963,0.47743342501544106,38.473846153846154,31.2,-7.273846153846154,34.10526315789474,34.42006269592476,0.31479953803002303,18.62263731376473,22.883644522798303,4.261007209033572,915,1009,100,144,915,"Bakersfield, CA","Bakersfield, CA",394357,8.698277025673407,1549.5186425616375,1684.300066656103
